Dimension : Anvil height,"3.60000",mm
Dimension : Area,"181.17160",mm^2
Dimension : Final anvil height,"3.60000",mm
Dimension : Final area,"181.17160",mm^2
Dimension : Final thickness,"13.46000",mm
Dimension : Final width,"13.46000",mm
Dimension : Geometry,Rectangular
Dimension : Thickness,"13.46000",mm
Dimension : Width,"13.46000",mm

Time,Extension,Load,Compressive strain,Compressive stress,Cycle Count
(sec),(mm),(N),(mm/mm),(MPa),
"0.00000","0.00016","0.01188","-0.00004","-0.00007","0"
"0.00200","0.00016","0.01021","-0.00004","-0.00006","0"
"0.00400","0.00016","0.00849","-0.00004","-0.00005","0"
"0.10400","-0.14781","-0.01792","0.04106","0.00010","0"
"0.20400","-0.32844","-0.05682","0.09123","0.00031","0"
"0.30400","-0.49891","-0.07667","0.13859","0.00042","0"
"0.40400","-0.66656","-0.22829","0.18516","0.00126","0"
"0.50400","-0.83328","-0.75216","0.23147","0.00415","0"
"0.60400","-0.99984","-1.78243","0.27773","0.00984","0"
"0.60600","-1.00328","-1.81219","0.27869","0.01000","0"
"0.60800","-1.00656","-1.84269","0.27960","0.01017","0"
"0.70800","-0.87016","-1.23523","0.24171","0.00682","0"
"0.80800","-0.67891","-0.25294","0.18859","0.00140","0"
"0.90800","-0.50547","0.00279","0.14041","-0.00002","0"
"1.00800","-0.33703","0.08666","0.09362","-0.00048","0"
"1.10800","-0.17000","0.00450","0.04722","-0.00002","0"
"1.20800","-0.00344","-0.06406","0.00095","0.00035","0"
"1.21200","0.00312","-0.04832","-0.00087","0.00027","0"
"1.21400","0.00656","-0.04336","-0.00182","0.00024","1"
"1.31400","-0.13000","-0.06075","0.03611","0.00034","1"
"1.41400","-0.32109","-0.06019","0.08919","0.00033","1"
"1.51400","-0.49453","-0.09696","0.13737","0.00054","1"
"1.61400","-0.66297","-0.20570","0.18416","0.00114","1"
"1.71400","-0.82984","-0.76785","0.23051","0.00424","1"
"1.81400","-0.99656","-1.70094","0.27682","0.00939","1"
"1.81800","-1.00312","-1.75927","0.27865","0.00971","1"
"1.82000","-1.00656","-1.78744","0.27960","0.00987","1"
"1.92000","-0.87000","-1.23318","0.24167","0.00681","1"
"2.02000","-0.67906","-0.21297","0.18863","0.00118","1"
"2.12000","-0.50547","-0.09148","0.14041","0.00050","1"
"2.22000","-0.33703","0.05038","0.09362","-0.00028","1"
"2.32000","-0.17000","0.02860","0.04722","-0.00016","1"
"2.42000","-0.00344","0.01733","0.00095","-0.00010","1"
"2.42400","0.00312","0.01267","-0.00087","-0.00007","1"
"2.42600","0.00656","0.01085","-0.00182","-0.00006","2"
"2.52600","-0.13000","-0.03404","0.03611","0.00019","2"
"2.62600","-0.32109","0.00270","0.08919","-0.00001","2"
"2.72600","-0.49453","-0.00542","0.13737","0.00003","2"
"2.82600","-0.66297","-0.04978","0.18416","0.00027","2"
"2.92600","-0.82984","-0.60783","0.23051","0.00336","2"
"3.02600","-0.99656","-1.58705","0.27682","0.00876","2"
"3.03000","-1.00328","-1.63111","0.27869","0.00900","2"
"3.03200","-1.00656","-1.65345","0.27960","0.00913","2"
"3.13200","-0.87000","-1.14241","0.24167","0.00631","2"
"3.23200","-0.67891","-0.04472","0.18859","0.00025","2"
"3.33200","-0.50547","0.02664","0.14041","-0.00015","2"
"3.43200","-0.33703","0.10996","0.09362","-0.00061","2"
"3.53200","-0.17000","0.06253","0.04722","-0.00035","2"
"3.63200","-0.00344","0.01160","0.00095","-0.00006","2"
"3.63600","0.00312","0.01315","-0.00087","-0.00007","2"
"3.63800","0.00641","0.01465","-0.00178","-0.00008","3"
"3.73800","-0.13000","0.02275","0.03611","-0.00013","3"
"3.83800","-0.32109","0.02524","0.08919","-0.00014","3"
"3.93800","-0.49438","-0.01476","0.13733","0.00008","3"
"4.03800","-0.66297","-0.16608","0.18416","0.00092","3"
"4.13800","-0.82984","-0.60704","0.23051","0.00335","3"
"4.23800","-0.99656","-1.66451","0.27682","0.00919","3"
"4.24200","-1.00328","-1.70722","0.27869","0.00942","3"
"4.24400","-1.00656","-1.72812","0.27960","0.00954","3"
"4.34400","-0.87000","-1.22602","0.24167","0.00677","3"
"4.44400","-0.67891","-0.19429","0.18859","0.00107","3"
"4.54400","-0.50547","-0.07656","0.14041","0.00042","3"
"4.64400","-0.33703","0.02972","0.09362","-0.00016","3"
"4.74400","-0.17000","-0.12083","0.04722","0.00067","3"
"4.84400","-0.00344","-0.05709","0.00095","0.00032","3"
"4.84800","0.00312","-0.05345","-0.00087","0.00030","3"
"4.85000","0.00656","-0.05263","-0.00182","0.00029","4"
"4.95000","-0.13000","-0.02707","0.03611","0.00015","4"
"5.05000","-0.32125","-0.09110","0.08924","0.00050","4"
"5.15000","-0.49453","-0.10201","0.13737","0.00056","4"
"5.25000","-0.66297","-0.15581","0.18416","0.00086","4"
"5.35000","-0.82984","-0.65767","0.23051","0.00363","4"
"5.45000","-0.99656","-1.71828","0.27682","0.00948","4"
"5.45400","-1.00328","-1.76844","0.27869","0.00976","4"
"5.45600","-1.00656","-1.79435","0.27960","0.00990","4"
"5.55600","-0.87000","-1.15717","0.24167","0.00639","4"
"5.65600","-0.67906","-0.17063","0.18863","0.00094","4"
"5.75600","-0.50547","-0.14131","0.14041","0.00078","4"
"5.85600","-0.33703","0.02305","0.09362","-0.00013","4"
"5.95600","-0.17016","-0.06117","0.04727","0.00034","4"
"6.05600","-0.00344","0.00769","0.00095","-0.00004","4"
"6.06000","0.00312","0.00308","-0.00087","-0.00002","4"
"6.06200","0.00656","0.00002","-0.00182","0.00000","5"
"6.16200","-0.13000","0.00249","0.03611","-0.00001","5"
"6.26200","-0.32109","-0.08215","0.08919","0.00045","5"
"6.36200","-0.49453","-0.03295","0.13737","0.00018","5"
"6.46200","-0.66297","-0.10253","0.18416","0.00057","5"
"6.56200","-0.82984","-0.64331","0.23051","0.00355","5"
"6.66200","-0.99641","-1.66164","0.27678","0.00917","5"
"6.66600","-1.00328","-1.70731","0.27869","0.00942","5"
"6.66800","-1.00656","-1.73160","0.27960","0.00956","5"
"6.76800","-0.87000","-1.16973","0.24167","0.00646","5"
"6.86800","-0.67891","-0.20838","0.18859","0.00115","5"
"6.96800","-0.50547","-0.01898","0.14041","0.00010","5"
"7.06800","-0.33703","0.06457","0.09362","-0.00036","5"
"7.16800","-0.17000","-0.11265","0.04722","0.00062","5"
"7.26800","-0.00359","-0.01344","0.00100","0.00007","5"
"7.27200","0.00312","-0.01734","-0.00087","0.00010","5"
"7.27400","0.00641","-0.02072","-0.00178","0.00011","6"
"7.37400","-0.13000","0.10178","0.03611","-0.00056","6"
"7.47400","-0.32109","0.04414","0.08919","-0.00024","6"
"7.57400","-0.49453","-0.01837","0.13737","0.00010","6"
"7.67400","-0.66297","-0.17346","0.18416","0.00096","6"
"7.77400","-0.82984","-0.64910","0.23051","0.00358","6"
"7.87400","-0.99656","-1.63534","0.27682","0.00903","6"
"7.87800","-1.00328","-1.67298","0.27869","0.00923","6"
"7.88000","-1.00656","-1.68828","0.27960","0.00932","6"
"7.98000","-0.87000","-1.15816","0.24167","0.00639","6"
"8.08000","-0.67891","-0.15879","0.18859","0.00088","6"
"8.18000","-0.50547","0.03618","0.14041","-0.00020","6"
"8.28000","-0.33703","0.04036","0.09362","-0.00022","6"
"8.38000","-0.17016","-0.03064","0.04727","0.00017","6"
"8.48000","-0.00359","0.01551","0.00100","-0.00009","6"
"8.48400","0.00312","0.01883","-0.00087","-0.00010","6"
"8.48600","0.00641","0.02018","-0.00178","-0.00011","7"
"8.58600","-0.13000","-0.02175","0.03611","0.00012","7"
"8.68600","-0.32125","-0.02572","0.08924","0.00014","7"
"8.78600","-0.49453","-0.03334","0.13737","0.00018","7"
"8.88600","-0.66297","-0.19374","0.18416","0.00107","7"
"8.98600","-0.82984","-0.62716","0.23051","0.00346","7"
"9.08600","-0.99656","-1.71333","0.27682","0.00946","7"
"9.09000","-1.00312","-1.75795","0.27865","0.00970","7"
"9.09200","-1.00656","-1.77999","0.27960","0.00982","7"
"9.19200","-0.87000","-1.25349","0.24167","0.00692","7"
"9.29200","-0.67891","-0.19962","0.18859","0.00110","7"
"9.39200","-0.50547","-0.06077","0.14041","0.00034","7"
"9.49200","-0.33703","0.04566","0.09362","-0.00025","7"
"9.59200","-0.17000","-0.10180","0.04722","0.00056","7"
"9.69200","-0.00359","-0.08103","0.00100","0.00045","7"
"9.69600","0.00312","-0.07674","-0.00087","0.00042","7"
"9.69800","0.00656","-0.07349","-0.00182","0.00041","8"
"9.79800","-0.13000","-0.02337","0.03611","0.00013","8"
"9.89800","-0.32109","-0.04633","0.08919","0.00026","8"
"9.99800","-0.49453","-0.04121","0.13737","0.00023","8"
"10.09800","-0.66297","-0.20160","0.18416","0.00111","8"
"10.19800","-0.82984","-0.62464","0.23051","0.00345","8"
"10.29800","-0.99656","-1.69719","0.27682","0.00937","8"
"10.30200","-1.00312","-1.74025","0.27865","0.00961","8"
"10.30400","-1.00656","-1.75954","0.27960","0.00971","8"
"10.40400","-0.87000","-1.16717","0.24167","0.00644","8"
"10.50400","-0.67906","-0.19603","0.18863","0.00108","8"
"10.60400","-0.50547","-0.02335","0.14041","0.00013","8"
"10.70400","-0.33703","0.10019","0.09362","-0.00055","8"
"10.80400","-0.17016","-0.02163","0.04727","0.00012","8"
"10.90400","-0.00344","-0.03878","0.00095","0.00021","8"
"10.90800","0.00312","-0.03635","-0.00087","0.00020","8"
"10.91000","0.00641","-0.03584","-0.00178","0.00020","9"
"11.01000","-0.13000","0.00324","0.03611","-0.00002","9"
"11.11000","-0.32125","-0.00464","0.08924","0.00003","9"
"11.21000","-0.49453","0.05502","0.13737","-0.00030","9"
"11.31000","-0.66297","-0.08184","0.18416","0.00045","9"
"11.41000","-0.82984","-0.52664","0.23051","0.00291","9"
"11.51000","-0.99656","-1.54875","0.27682","0.00855","9"
"11.51400","-1.00328","-1.60231","0.27869","0.00884","9"
"11.51600","-1.00656","-1.63015","0.27960","0.00900","9"
"11.61600","-0.87000","-1.06072","0.24167","0.00585","9"
"11.71600","-0.67891","-0.03125","0.18859","0.00017","9"
"11.81600","-0.50547","0.02634","0.14041","-0.00015","9"
"11.91600","-0.33703","0.11566","0.09362","-0.00064","9"
"12.01600","-0.17016","-0.00985","0.04727","0.00005","9"
"12.11600","-0.00359","-0.00819","0.00100","0.00005","9"
"12.12000","0.00312","-0.00565","-0.00087","0.00003","9"
"12.12200","0.00641","-0.00210","-0.00178","0.00001","10"
"12.22200","-0.13000","0.05630","0.03611","-0.00031","10"
"12.32200","-0.32109","0.09518","0.08919","-0.00053","10"
"12.42200","-0.49453","-0.05564","0.13737","0.00031","10"
"12.52200","-0.66297","-0.13644","0.18416","0.00075","10"
"12.62200","-0.82984","-0.59023","0.23051","0.00326","10"
"12.72200","-0.99656","-1.62418","0.27682","0.00896","10"
"12.72600","-1.00328","-1.67822","0.27869","0.00926","10"
"12.72800","-1.00656","-1.70560","0.27960","0.00941","10"
"12.82800","-0.87000","-1.17689","0.24167","0.00650","10"
"12.92800","-0.67906","-0.15777","0.18863","0.00087","10"
"13.02800","-0.50547","-0.09192","0.14041","0.00051","10"
"13.12800","-0.33703","-0.00904","0.09362","0.00005","10"
"13.22800","-0.17016","-0.12503","0.04727","0.00069","10"
"13.32800","-0.00359","-0.11876","0.00100","0.00066","10"
"13.33200","0.00312","-0.11536","-0.00087","0.00064","10"
"13.33400","0.00641","-0.11493","-0.00178","0.00063","11"
"13.43400","-0.13000","-0.04855","0.03611","0.00027","11"
"13.53400","-0.32109","0.03510","0.08919","-0.00019","11"
"13.63400","-0.49453","-0.09791","0.13737","0.00054","11"
"13.73400","-0.66281","-0.15931","0.18411","0.00088","11"
"13.83400","-0.82984","-0.66773","0.23051","0.00369","11"
"13.93400","-0.99656","-1.69626","0.27682","0.00936","11"
"13.93800","-1.00328","-1.74060","0.27869","0.00961","11"
"13.94000","-1.00656","-1.76239","0.27960","0.00973","11"
"14.04000","-0.87000","-1.21486","0.24167","0.00671","11"
"14.14000","-0.67891","-0.20038","0.18859","0.00111","11"
"14.24000","-0.50547","-0.03574","0.14041","0.00020","11"
"14.34000","-0.33703","0.03189","0.09362","-0.00018","11"
"14.44000","-0.17000","-0.04357","0.04722","0.00024","11"
"14.54000","-0.00359","0.04112","0.00100","-0.00023","11"
"14.54400","0.00312","0.03411","-0.00087","-0.00019","11"
"14.54600","0.00641","0.03248","-0.00178","-0.00018","12"
"14.64600","-0.13000","-0.00926","0.03611","0.00005","12"
"14.74600","-0.32125","-0.04470","0.08924","0.00025","12"
"14.84600","-0.49453","0.01250","0.13737","-0.00007","12"
"14.94600","-0.66297","-0.11848","0.18416","0.00065","12"
"15.04600","-0.82984","-0.57484","0.23051","0.00317","12"
